2025-05-20 06:54:07.980 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ashut\.cache\selenium\chromedriver\win64\136.0.7103.94\chromedriver.exe
2025-05-20 06:54:17.007 [main] INFO  BaseTest.Base - ***validation for invalid result ***
2025-05-20 06:54:17.488 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 136.0.7103.94 (resolved driver for Chrome 136)
2025-05-20 06:54:17.522 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ashut\.cache\selenium\chromedriver\win64\136.0.7103.94\chromedriver.exe
2025-05-20 06:54:22.013 [main] INFO  BaseTest.Base - ***validation for invalid result ***
2025-05-20 06:54:22.013 [main] INFO  BaseTest.Base - ***validation for valid result ***
2025-05-20 06:54:22.730 [main] INFO  BaseTest.Base - ***completed LoginDDTest ***
2025-05-20 06:54:23.315 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 136.0.7103.94 (resolved driver for Chrome 136)
2025-05-20 06:54:23.343 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ashut\.cache\selenium\chromedriver\win64\136.0.7103.94\chromedriver.exe
2025-05-20 06:54:25.067 [main] INFO  BaseTest.Base - execution started
2025-05-20 07:07:39.863 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 136.0.7103.94 (resolved driver for Chrome 136)
2025-05-20 07:07:39.932 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ashut\.cache\selenium\chromedriver\win64\136.0.7103.94\chromedriver.exe
2025-05-20 07:07:50.551 [main] INFO  BaseTest.Base - ***validation for invalid result ***
2025-05-20 07:07:51.047 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 136.0.7103.94 (resolved driver for Chrome 136)
2025-05-20 07:07:51.106 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ashut\.cache\selenium\chromedriver\win64\136.0.7103.94\chromedriver.exe
2025-05-20 07:07:59.863 [main] INFO  BaseTest.Base - ***validation for invalid result ***
2025-05-20 07:08:00.413 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 136.0.7103.94 (resolved driver for Chrome 136)
2025-05-20 07:08:00.464 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ashut\.cache\selenium\chromedriver\win64\136.0.7103.94\chromedriver.exe
2025-05-20 07:08:09.883 [main] INFO  BaseTest.Base - ***validation for invalid result ***
2025-05-20 07:08:10.230 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 136.0.7103.94 (resolved driver for Chrome 136)
2025-05-20 07:08:10.264 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ashut\.cache\selenium\chromedriver\win64\136.0.7103.94\chromedriver.exe
2025-05-20 07:08:19.365 [main] INFO  BaseTest.Base - ***validation for invalid result ***
2025-05-20 07:08:19.833 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 136.0.7103.94 (resolved driver for Chrome 136)
2025-05-20 07:08:19.876 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ashut\.cache\selenium\chromedriver\win64\136.0.7103.94\chromedriver.exe
2025-05-20 07:08:28.834 [main] INFO  BaseTest.Base - ***validation for invalid result ***
2025-05-20 07:08:29.313 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 136.0.7103.94 (resolved driver for Chrome 136)
2025-05-20 07:08:29.340 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ashut\.cache\selenium\chromedriver\win64\136.0.7103.94\chromedriver.exe
2025-05-20 07:08:38.214 [main] INFO  BaseTest.Base - ***validation for invalid result ***
2025-05-20 07:08:38.648 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 136.0.7103.94 (resolved driver for Chrome 136)
2025-05-20 07:08:38.678 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ashut\.cache\selenium\chromedriver\win64\136.0.7103.94\chromedriver.exe
2025-05-20 07:08:46.982 [main] INFO  BaseTest.Base - ***validation for invalid result ***
2025-05-20 07:08:47.304 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 136.0.7103.94 (resolved driver for Chrome 136)
2025-05-20 07:08:47.350 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ashut\.cache\selenium\chromedriver\win64\136.0.7103.94\chromedriver.exe
2025-05-20 07:08:57.272 [main] INFO  BaseTest.Base - ***validation for invalid result ***
2025-05-20 07:08:57.681 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 136.0.7103.94 (resolved driver for Chrome 136)
2025-05-20 07:08:57.711 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ashut\.cache\selenium\chromedriver\win64\136.0.7103.94\chromedriver.exe
